variables,type,units,values,description
raft.platform_member3_cap_t,input,m,[0.05 0.05 0.05 0.05],Thickness of any internal structures
raft.platform_member4_cap_stations,input,,[0.   0.05 0.2  1.  ],Location along member of any inner structures (same scaling as stations
raft.platform_member4_cap_t,input,m,[0.05 0.05 0.05 0.05],Thickness of any internal structures
raft.platform_member5_cap_stations,input,,[0. 1.],Location along member of any inner structures (same scaling as stations
raft.platform_member5_cap_t,input,m,[0.02 0.02],Thickness of any internal structures
raft.platform_member6_cap_stations,input,,[0. 1.],Location along member of any inner structures (same scaling as stations
raft.platform_member6_cap_t,input,m,[0.02 0.02],Thickness of any internal structures
raft.platform_member7_cap_stations,input,,[0. 1.],Location along member of any inner structures (same scaling as stations
raft.platform_member7_cap_t,input,m,[0.02 0.02],Thickness of any internal structures
raft.platform_member8_cap_stations,input,,[0. 1.],Location along member of any inner structures (same scaling as stations
raft.platform_member8_cap_t,input,m,[0.02 0.02],Thickness of any internal structures
raft.platform_member9_cap_stations,input,,[0. 1.],Location along member of any inner structures (same scaling as stations
raft.platform_member9_cap_t,input,m,[0.02 0.02],Thickness of any internal structures
raft.platform_member10_cap_stations,input,,[0. 1.],Location along member of any inner structures (same scaling as stations
raft.platform_member10_cap_t,input,m,[0.02 0.02],Thickness of any internal structures
raft.mooring_water_depth,input,m,[200.],Uniform water depth
raft.nBlades,input,n/a,3,number of blades
raft.airfoils_name,input,n/a,"['circular', 'SNL-FFA-W3-500', 'FFA-W3-211', 'FFA-W3-241', 'FFA-W3-270blend', 'FFA-W3-301', 'FFA-W3-330blend', 'FFA-W3-360']",1D array of names of airfoils.
raft.wind.z0,input,m,[0.],
raft.wind.shearExp,input,,[0.],
sse_tune.v_min,input,m/s,[3.],cut-in wind speed
sse_tune.v_max,input,m/s,[25.],cut-out wind speed
sse_tune.precone,input,deg,[4.],precone angle
sse_tune.tilt,input,deg,[6.],shaft tilt
sse_tune.yaw,input,deg,[0.],yaw error
sse_tune.rho,input,kg/m**3,[1.225],density of air
sse_tune.mu,input,kg/m/s,[1.81e-05],dynamic viscosity of air
sse_tune.aeroperf_tables.shearExp,input,,[0.],shear exponent
