variables,type,units,values,description
floatingse.member3.section_Ixx,output,kg*m**2,"[ 1198.42249054    37.89177492    37.89177492  1198.42249054
  1198.42249054    37.89177492    37.89177492    37.89177492
    37.89177492    37.89177492    37.89177492  1198.42249054
  1198.42249054    37.89177492    37.89177492    37.89177492
    37.89177492  1198.42249054 -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.member3.section_Iyy,output,kg*m**2,"[ 1198.42249054    37.89177492    37.89177492  1198.42249054
  1198.42249054    37.89177492    37.89177492    37.89177492
    37.89177492    37.89177492    37.89177492  1198.42249054
  1198.42249054    37.89177492    37.89177492    37.89177492
    37.89177492  1198.42249054 -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.member3.section_J0,output,kg*m**2,"[ 2396.84498107    75.78354984    75.78354984  2396.84498107
  2396.84498107    75.78354984    75.78354984    75.78354984
    75.78354984    75.78354984    75.78354984  2396.84498107
  2396.84498107    75.78354984    75.78354984    75.78354984
    75.78354984  2396.84498107 -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.member3.section_rho,output,kg/m**3,"[ 11742.43466638 255191.7335828  255191.7335828   11742.43466638
  11742.43466638   7800.           7800.           7800.
   7800.           7800.           7800.           7800.
   7800.           7800.           7800.           7800.
   7800.           7800.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.        ]",
floatingse.member3.section_E,output,Pa,"[ 2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11
  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11
  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member3.section_G,output,Pa,"[ 7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10
  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10
  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member3.section_TorsC,output,m**3,"[    0.            12.12536797    12.12536797     0.
     0.            12.12536797    12.12536797    12.12536797
    12.12536797    12.12536797    12.12536797     0.
     0.            12.12536797    12.12536797    12.12536797
    12.12536797     0.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.member3.section_sigma_y,output,Pa,"[ 3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08
  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08
  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member4.constr_d_to_t,output,,[45.5],
floatingse.member4.constr_taper,output,,[1.],
floatingse.member4.slope,output,,[1.],
floatingse.member4.ca_usr_grid_full,output,,[1. 1. 1.],
floatingse.member4.cd_usr_grid_full,output,,[0.8 0.8 0.8],
floatingse.member4.nu_full,output,,[0.26103405 0.26103405],
floatingse.member4.nodes_r,output,m,[0.455 0.455 0.455],
floatingse.member4.z_global,output,m,[14.545 14.545 14.545],
floatingse.member4.center_of_buoyancy,output,m,[0. 0. 0.],
floatingse.member4.displacement,output,m**3,[0.],
floatingse.member4.buoyancy_force,output,N,[0.],
floatingse.member4.idx_cb,output,,[0.],
floatingse.member4.Awater,output,m**2,[0.],
floatingse.member4.Iwaterx,output,m**4,[0.],
floatingse.member4.Iwatery,output,m**4,[0.],
floatingse.member4.added_mass,output,kg,[0. 0. 0. 0. 0. 0.],
floatingse.member4.waterline_centroid,output,m,[0. 0.],
floatingse.member4.z_dim,output,m,[14.545 14.545 14.545],
floatingse.member4.d_eff,output,m,[4.70924741e+09 4.70924741e+09 4.70924741e+09],
floatingse.member4.section_height,output,m,[51.75],
floatingse.member4.sigma_ult,output,Pa,[4.5e+08],
floatingse.member4.wohler_exp,output,,[3.],
floatingse.member4.wohler_A,output,,[3.55346484e+10],
floatingse.member4.z_param,output,m,[14.545 66.295],
floatingse.member4.sec_loc,output,,[0.],normalized sectional location
floatingse.member4.str_tw,output,deg,[0.],structural twist of section
floatingse.member4.tw_iner,output,deg,[0.],inertial twist of section
floatingse.member4.mass_den,output,kg/m,[436.17872402],sectional mass per unit length
floatingse.member4.foreaft_iner,output,kg*m,[43.20895485],sectional fore-aft intertia per unit length about the Y_G inertia axis
floatingse.member4.sideside_iner,output,kg*m,[43.20895485],sectional side-side intertia per unit length about the Y_G inertia axis
floatingse.member4.foreaft_stff,output,N*m**2,[1.10792192e+09],sectional fore-aft bending stiffness per unit length about the Y_E elastic axis
floatingse.member4.sideside_stff,output,N*m**2,[1.10792192e+09],sectional side-side bending stiffness per unit length about the Y_E elastic axis
floatingse.member4.tor_stff,output,N*m**2,[8.78582082e+08],sectional torsional stiffness
floatingse.member4.axial_stff,output,N,[1.11840698e+10],sectional axial stiffness
floatingse.member4.cg_offst,output,m,[0.],offset from the sectional center of mass
floatingse.member4.sc_offst,output,m,[0.],offset from the sectional shear center
floatingse.member4.tc_offst,output,m,[0.],offset from the sectional tension center
floatingse.member4.axial_load2stress,output,m**2,[[ 0.          0.         17.88257788 82.13575201 82.13575201  0.        ]],
floatingse.member4.shear_load2stress,output,m**2,[[29.14202043 29.14202043  0.          0.          0.         41.067876  ]],
floatingse.member4.shell_cost,output,USD,[63215.68496277],
floatingse.member4.shell_mass,output,kg,[18165.21664293],
floatingse.member4.shell_z_cg,output,m,[24.6768653],
floatingse.member4.shell_I_base,output,kg*m**2,"[1.36889632e+07 1.36889632e+07 3.59898355e+03 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
floatingse.member4.bulkhead_mass,output,kg,[185.4739754],
floatingse.member4.bulkhead_z_cg,output,m,[24.6768653],
floatingse.member4.bulkhead_cost,output,USD,[1327.72048192],
floatingse.member4.bulkhead_I_base,output,kg*m**2,"[1.93374782e+05 1.93374782e+05 1.75481565e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
floatingse.member4.stiffener_mass,output,kg,[0.],
floatingse.member4.stiffener_z_cg,output,m,[0.],
floatingse.member4.stiffener_cost,output,USD,[0.],
floatingse.member4.stiffener_I_base,output,kg*m**2,[0. 0. 0. 0. 0. 0.],
floatingse.member4.flange_spacing_ratio,output,,[0.],
floatingse.member4.stiffener_radius_ratio,output,,"[-9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
floatingse.member4.constr_flange_compactness,output,,[0.],
floatingse.member4.constr_web_compactness,output,,[0.],
floatingse.member4.ballast_cost,output,USD,[0.],
floatingse.member4.ballast_mass,output,kg,[0.],
floatingse.member4.ballast_height,output,,[],
floatingse.member4.ballast_z_cg,output,m,[0.],
floatingse.member4.ballast_I_base,output,kg*m**2,[0. 0. 0. 0. 0. 0.],
floatingse.member4.variable_ballast_capacity,output,m**3,[0.],
floatingse.member4.variable_ballast_Vpts,output,m**3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
floatingse.member4.variable_ballast_spts,output,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
floatingse.member4.constr_ballast_capacity,output,,[],
floatingse.member4.total_mass,output,kg,[18350.69061833],
floatingse.member4.total_cost,output,USD,[64543.40544469],
floatingse.member4.structural_mass,output,kg,[18350.69061833],
floatingse.member4.structural_cost,output,USD,[64543.40544469],
floatingse.member4.z_cg,output,m,[24.6768653],
floatingse.member4.I_total,output,kg*m**2,"[2707727.43172666 2707727.43172666    3616.53170388       0.
       0.               0.        ]",
